"SS-IN","SED-IN","COND-IN","SS-OUT","SED-OUT","COND-OUT","STATUS"
"168","3","1814","15","0.001","1879","ok"
"156","3","1358","14","0.01","1425","ok"
"176","3.5","2200","16","0.005","2140","ok"
"256","3","2070","27","0.2","2700","ok"
"230","5","1410","131","3.5","1575","settler"
"116","3","1238","104","0.06","1221","settler"
"242","7","1315","104","0.01","1434","settler"
"242","4.5","1183","78","0.02","1374","settler"
"174","2.5","1110","73","1.5","1256","settler"
"1004","35","1218","81","1172","33.3","solids"
"1228","46","1889","82.4","1932","42.1","solids"
"965","17","2120","20","1030","1966","solids"
"2008","32","1257","13","1038","1289","solids"
